end,value
8-Jan-00,437137
15-Jan-00,323738
22-Jan-00,327860
29-Jan-00,360093
5-Feb-00,307376
12-Feb-00,276710
19-Feb-00,255211
26-Feb-00,278717
4-Mar-00,251234
11-Mar-00,238413
18-Mar-00,236405
25-Mar-00,225722
1-Apr-00,268396
8-Apr-00,232656
15-Apr-00,237884
22-Apr-00,244838
29-Apr-00,254908
6-May-00,228084
13-May-00,230729
20-May-00,235837
27-May-00,238609
3-Jun-00,262276
10-Jun-00,261067
17-Jun-00,268910
24-Jun-00,276742
1-Jul-00,358122
8-Jul-00,371767
15-Jul-00,292160
22-Jul-00,250209
29-Jul-00,261686
5-Aug-00,257122
12-Aug-00,247703
19-Aug-00,234024
26-Aug-00,238836
2-Sep-00,225273
9-Sep-00,241301
16-Sep-00,217879
23-Sep-00,221767
30-Sep-00,288775
7-Oct-00,249752
14-Oct-00,259286
21-Oct-00,265294
28-Oct-00,338535
4-Nov-00,290634
11-Nov-00,371922
18-Nov-00,317655
25-Nov-00,442847
2-Dec-00,386141
9-Dec-00,399120
16-Dec-00,477100
23-Dec-00,564988
30-Dec-00,554099
6-Jan-01,593572
13-Jan-01,392588
20-Jan-01,438446
27-Jan-01,416730
3-Feb-01,390374
10-Feb-01,341274
17-Feb-01,353444
24-Feb-01,375100
3-Mar-01,373382
10-Mar-01,347797
17-Mar-01,331442
24-Mar-01,324008
31-Mar-01,392724
7-Apr-01,344528
14-Apr-01,365351
21-Apr-01,348127
28-Apr-01,332114
5-May-01,327500
12-May-01,334711
19-May-01,339914
26-May-01,331638
2-Jun-01,391273
9-Jun-01,350346
16-Jun-01,347222
23-Jun-01,370916
30-Jun-01,522239
7-Jul-01,517662
14-Jul-01,401116
21-Jul-01,330575
28-Jul-01,335708
4-Aug-01,327624
11-Aug-01,312576
18-Aug-01,303754
25-Aug-01,314347
1-Sep-01,305680
8-Sep-01,312922
15-Sep-01,348457
22-Sep-01,395736
29-Sep-01,435426
6-Oct-01,421558
13-Oct-01,423421
20-Oct-01,431642
27-Oct-01,439205
3-Nov-01,452027
10-Nov-01,416376
17-Nov-01,436160
24-Nov-01,600932
1-Dec-01,487616
8-Dec-01,437340
15-Dec-01,525406
22-Dec-01,643741
29-Dec-01,634277
5-Jan-02,794196
12-Jan-02,553000
19-Jan-02,426589
26-Jan-02,440326
2-Feb-02,433061
9-Feb-02,371893
16-Feb-02,363535
23-Feb-02,380696
2-Mar-02,382521
9-Mar-02,348283
16-Mar-02,363151
23-Mar-02,382992
30-Mar-02,425613
6-Apr-02,421183
13-Apr-02,379822
20-Apr-02,361354
27-Apr-02,355963
4-May-02,352055
